,Tipo,Ano,Local,Seção,Seção (Nome),Total
276,N° de funcionários,2016,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",9
277,N° de funcionários,2016,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",23
278,N° de funcionários,2016,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",1330
279,N° de funcionários,2016,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",167
280,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",325
281,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",44
282,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",534
283,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",2388
284,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",2
285,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",26
286,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",1435
287,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",144
288,N° de funcionários,2014,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",352
289,N° de funcionários,2014,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",44
290,N° de funcionários,2014,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",617
291,N° de funcionários,2014,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",2290
